source,target,weight
*,E_COMMERCE,0.0479
성인자녀가족,GAS_STATION,0.29730000000000006
청소년가족,E_COMMERCE,0.047900000000000005
신혼부부,GAS_STATION,0.29729999999999995
신혼부부,E_COMMERCE,0.0479
영유아가족,E_COMMERCE,0.0479
청소년가족,E_COMMERCE,0.04789999999999999
싱글,E_COMMERCE,0.0479
청소년가족,CAR,0.1251
성인자녀가족,E_COMMERCE,0.0479
실버,CAR,0.1251
신혼부부,CAR,0.1251
실버,TRAVEL,0.1715
신혼부부,CAR,0.1251
성인자녀가족,LARGE_DISCOUNT_STORE,0.11709999999999998
영유아가족,LARGE_DISCOUNT_STORE,0.11709999999999998
*,LARGE_DISCOUNT_STORE,0.1171
영유아가족,LARGE_DISCOUNT_STORE,0.1171
신혼부부,LARGE_DISCOUNT_STORE,0.11709999999999998
신혼부부,ELECTRONICS_FURNITURE,0.0923
*,ENTERTAINMENT,0.06260000000000002
실버,TRAVEL,0.17150000000000004
싱글,DEPARTMENT_STORE,0.1171
청소년가족,DEPARTMENT_STORE,0.11710000000000001
실버,DEPARTMENT_STORE,0.11709999999999998
신혼부부,CAR,0.1251
*,TRAVEL,0.1715
신혼부부,DEPARTMENT_STORE,0.11710000000000001
*,TRAVEL,0.1715
영유아가족,FOOD,0.1907
청소년가족,SMALL_RETAIL_STORE,0.13210000000000002
싱글,FOOD,0.1907
싱글,COFFEE,0.2018
청소년가족,COFFEE,0.20179999999999998
신혼부부,SPORTS_CULTURE_LEISURE,0.37110000000000004
영유아가족,BEAUTY,0.12359999999999999
*,SMALL_RETAIL_STORE,0.1321
청소년가족,FOOD,0.19069999999999998
싱글,MEDICAL,0.0753
청소년가족,FOOD,0.19069999999999998
영유아가족,SPORTS_CULTURE_LEISURE,0.3711
성인자녀가족,SPORTS_CULTURE_LEISURE,0.3711
*,COFFEE,0.20179999999999998
실버,SPORTS_CULTURE_LEISURE,0.3711
실버,MEDICAL,0.0753
성인자녀가족,COFFEE,0.20179999999999998
실버,FOOD,0.1907
싱글,CAR_SERVICE_SUPPLIES,0.0751
성인자녀가족,COFFEE,0.2018
청소년가족,SMALL_RETAIL_STORE,0.13209999999999997
실버,MEDICAL,0.07529999999999999
영유아가족,MEDICAL,0.0753
실버,BEAUTY,0.12359999999999997
*,BEAUTY,0.12359999999999999
성인자녀가족,SPORTS_CULTURE_LEISURE,0.37110000000000004
청소년가족,CAR_SERVICE_SUPPLIES,0.0751
싱글,COFFEE,0.20179999999999998
실버,SMALL_RETAIL_STORE,0.1321
성인자녀가족,CLOTHING_ACCESSORIES,0.1058
영유아가족,CAR_SERVICE_SUPPLIES,0.0751
청소년가족,MEDICAL,0.07530000000000002
싱글,CAR_SERVICE_SUPPLIES,0.0751
영유아가족,ACCOMMODATION,0.1087
청소년가족,BEAUTY,0.12360000000000002
영유아가족,SPORTS_CULTURE_LEISURE,0.3711
성인자녀가족,CAR_SERVICE_SUPPLIES,0.0751
청소년가족,CAR_SERVICE_SUPPLIES,0.0751
성인자녀가족,CAR_SERVICE_SUPPLIES,0.0751
청소년가족,COFFEE,0.2018
실버,ELECTRONICS_FURNITURE,0.0923
*,COFFEE,0.20180000000000003
청소년가족,CAR,0.12510000000000002
실버,CAR,0.1251
싱글,GAS_STATION,0.29730000000000006
성인자녀가족,LARGE_DISCOUNT_STORE,0.1171
*,LARGE_DISCOUNT_STORE,0.11710000000000002
실버,DEPARTMENT_STORE,0.11710000000000001
신혼부부,DEPARTMENT_STORE,0.1171
청소년가족,TRAVEL,0.1715
성인자녀가족,BEAUTY,0.12360000000000002
성인자녀가족,CLOTHING_ACCESSORIES,0.10580000000000002
*,MEDICAL,0.07529999999999999
청소년가족,COFFEE,0.20180000000000003
성인자녀가족,COFFEE,0.2018
실버,FOOD,0.19070000000000004
실버,FOOD,0.19069999999999998
신혼부부,MEDICAL,0.0753
청소년가족,MEDICAL,0.0753
영유아가족,CAR_SERVICE_SUPPLIES,0.0751
청소년가족,BEAUTY,0.1236
영유아가족,LARGE_DISCOUNT_STORE,0.1171
